code,system
BB5D700,readv2
BB5D800,readv2
BB5D500,readv2
BB5D513,readv2
B150300,readv2
C22.0,readv2
B150000,readv2
BB5D711,readv2
ZV10015,readv2
58177.0,readv2
B150200,readv2
C22.4,readv2
C22.3,readv2
B152.00,readv2
Byu1100,readv2
C22.9,readv2
C22.7,readv2
BB5D511,readv2
BB5D512,readv2
B150100,readv2
C22.2,readv2
B150z00,readv2
B150.00,readv2
40240.0,readv2
16126.0,readv2
43490.0,readv2
68410.0,readv2
44399.0,readv2
22187.0,readv2
31210.0,readv2
26814.0,readv2
26393.0,readv2
25641.0,readv2
110147.0,readv2
20234.0,readv2
107299.0,readv2
25535.0,readv2
46771.0,readv2